whitelist,blacklist
gmail.com,tk
yahoo.com,ml
outlook.com,ga
icloud.com,cf
hotmail.com,gq
protonmail.com,info
zoho.com,click
aol.com,site
mail.com,online
gmx.com,top
yandex.com,xyz
msn.com,buzz
me.com,win
live.com,stream
qq.com,review
naver.com,cam
163.com,zip
rediffmail.com,mov
fastmail.com,date
tutanota.com,loan
edu.vn,accountant
btec.edu.vn,download
vnpt.vn,party
vnu.edu.vn,racing
fpt.edu.vn,trade
uet.vnu.edu.vn,science
hust.edu.vn,host
uit.edu.vn,space
hcmut.edu.vn,press
ctu.edu.vn,website
agri.gov.vn,pw
moet.gov.vn,bid
moj.gov.vn,ooo
vnu.vn,faith
vnnic.vn,cricket
vncert.gov.vn,ml.ml
who.int,tk.tk
un.org,cc
microsoft.com,cn.com
apple.com,ru.com
google.com,biz
amazon.com,webcam
facebook.com,ninja
twitter.com,gdn
linkedin.com,men
github.com,work
gitlab.com,tech
stackoverflow.com,cyou
netflix.com,page
zoom.us,monster
dropbox.com,
